path	max_lines	kind	reason	review_after
crates/ctx-history-capture/src/tests/native_json.rs	2814	test	native JSON import regression matrix with shared fixtures; split after provider fixture consolidation lands	2026-10-01
crates/ctx-history-capture/src/tests/native_providers.rs	2435	test	native provider parser matrix with cross-provider fixture setup; split after provider fixture consolidation lands	2026-10-01
crates/ctx-cli/src/integrations/mcp.rs	1623	source	MCP config writer matrix spans many agent formats; split after the initial integrations installer surface stabilizes	2026-10-01
crates/ctx-history-capture/src/provider/providers/opencode.rs	1450	source	OpenCode/Kilo provider compatibility remains centralized; provenance extraction leaves four mechanical propagation lines	2026-10-01
crates/ctx-history-capture/src/tests/native_sqlite.rs	1754	test	native SQLite provider regression matrix shares setup across formats; split after fixture helpers are shared	2026-10-01
crates/ctx-history-capture/src/provider/native.rs	1147	source	native provider discovery dispatcher remains centralized; one provenance field is mechanical propagation	2026-10-01
crates/ctx-history-capture/src/provider/importer.rs	1064	source	native provider import orchestration remains centralized; two provenance fields are mechanical propagation	2026-10-01
crates/ctx-cli/tests/native_providers.rs	1895	test	native provider public CLI scenario matrix; fixtures are already modular and splitting would scatter end-to-end coverage	2026-10-01
crates/ctx-history-store/src/schema/migrations.rs	1034	source	schema migration history is append-only; authorship migration registration is mechanical propagation	2026-10-01
crates/ctx-history-store/src/schema/tests.rs	1507	test	schema migration regression matrix shares catalog and version fixtures; one provenance field is mechanical propagation	2026-10-01
crates/ctx-history-store/src/search/projections.rs	2024	source	search projection eligibility and embedding document helpers are temporarily over cap after semantic projection integration; split with next search-store cleanup	2026-10-01
crates/ctx-cli/src/main.rs	1117	source	public CLI argument and dispatch surface adds one authorship option; command implementation remains modular	2026-10-01
crates/ctx-cli/src/semantic/daemon.rs	2315	source	daemon lifecycle, query service, and semantic scheduler are integrated for prerelease; split after daemon service boundaries settle	2026-10-01
crates/ctx-cli/src/semantic/embedding_backend.rs	1361	source	unified ONNX and Core ML embedding execution remains together while the cross-platform backend contract settles	2026-10-01
crates/ctx-cli/src/semantic/model_acquisition.rs	1424	source	model download, cache validation, and atomic installation remain together while distribution paths settle	2026-10-01
crates/ctx-cli/src/semantic/model_bundle.rs	1445	source	model bundle manifests, validation, cache markers, and atomic publication remain together while the bundle format settles	2026-10-01
crates/ctx-cli/src/semantic/tests.rs	2058	test	semantic readiness, indexing, and query tests share fixtures while the prerelease module boundaries settle	2026-10-01
crates/ctx-cli/src/upgrade/install.rs	1717	source	managed upgrade installation includes transactional CLI and runtime sidecar handling; split after the runtime install boundary settles	2026-10-01
scripts/build-onnxruntime-sidecar.sh	1298	source	pinned cross-platform ONNX Runtime construction, signing hooks, packaging, and validation remain one release helper while platform lanes settle	2026-10-01
